total_points,hp,attack,defense,sp_attack,sp_defense,speed,status_Mythical,status_Normal,status_Sub Legendary,growth_rate_Fast,growth_rate_Fluctuating,growth_rate_Medium Fast,growth_rate_Medium Slow,growth_rate_Slow
430.0,45.0,80.0,50.0,75.0,60.0,120.0,0,1,0,0,0,1,0,0
485.0,60.0,90.0,55.0,90.0,80.0,110.0,0,1,0,0,0,1,0,0
485.0,60.0,85.0,50.0,95.0,85.0,110.0,0,1,0,0,0,1,0,0
300.0,50.0,75.0,85.0,20.0,30.0,40.0,0,1,0,0,0,1,0,0
300.0,50.0,75.0,90.0,10.0,35.0,40.0,0,1,0,0,0,1,0,0
450.0,75.0,100.0,110.0,45.0,55.0,65.0,0,1,0,0,0,1,0,0
450.0,75.0,100.0,120.0,25.0,65.0,65.0,0,1,0,0,0,1,0,0
275.0,55.0,47.0,52.0,40.0,40.0,41.0,0,1,0,0,0,0,1,0
365.0,70.0,62.0,67.0,55.0,55.0,56.0,0,1,0,0,0,0,1,0
505.0,90.0,92.0,87.0,75.0,85.0,76.0,0,1,0,0,0,0,1,0
273.0,46.0,57.0,40.0,40.0,40.0,50.0,0,1,0,0,0,0,1,0
365.0,61.0,72.0,57.0,55.0,55.0,65.0,0,1,0,0,0,0,1,0
505.0,81.0,102.0,77.0,85.0,75.0,85.0,0,1,0,0,0,0,1,0
323.0,70.0,45.0,48.0,60.0,65.0,35.0,0,1,0,1,0,0,0,0
483.0,95.0,70.0,73.0,95.0,90.0,60.0,0,1,0,1,0,0,0,0
299.0,38.0,41.0,40.0,50.0,65.0,65.0,0,1,0,0,0,1,0,0
299.0,38.0,41.0,40.0,50.0,65.0,65.0,0,1,0,0,0,1,0,0
505.0,73.0,76.0,75.0,81.0,100.0,100.0,0,1,0,0,0,1,0,0
505.0,73.0,67.0,75.0,81.0,100.0,109.0,0,1,0,0,0,1,0,0
270.0,115.0,45.0,20.0,45.0,25.0,20.0,0,1,0,1,0,0,0,0
435.0,140.0,70.0,45.0,85.0,50.0,45.0,0,1,0,1,0,0,0,0
245.0,40.0,45.0,35.0,30.0,40.0,55.0,0,1,0,0,0,1,0,0
455.0,75.0,80.0,70.0,65.0,75.0,90.0,0,1,0,0,0,1,0,0
320.0,45.0,50.0,55.0,75.0,65.0,30.0,0,1,0,0,0,0,1,0
395.0,60.0,65.0,70.0,85.0,75.0,40.0,0,1,0,0,0,0,1,0
490.0,75.0,80.0,85.0,110.0,90.0,50.0,0,1,0,0,0,0,1,0
285.0,35.0,70.0,55.0,45.0,55.0,25.0,0,1,0,0,0,1,0,0
405.0,60.0,95.0,80.0,60.0,80.0,30.0,0,1,0,0,0,1,0,0
305.0,60.0,55.0,50.0,40.0,55.0,45.0,0,1,0,0,0,1,0,0
450.0,70.0,65.0,60.0,90.0,75.0,90.0,0,1,0,0,0,1,0,0
265.0,10.0,55.0,25.0,35.0,45.0,95.0,0,1,0,0,0,1,0,0
265.0,10.0,55.0,30.0,35.0,45.0,90.0,0,1,0,0,0,1,0,0
425.0,35.0,100.0,50.0,50.0,70.0,120.0,0,1,0,0,0,1,0,0
425.0,35.0,100.0,60.0,50.0,70.0,110.0,0,1,0,0,0,1,0,0
290.0,40.0,45.0,35.0,40.0,40.0,90.0,0,1,0,0,0,1,0,0
290.0,40.0,35.0,35.0,50.0,40.0,90.0,0,1,0,0,0,1,0,0
290.0,50.0,65.0,55.0,40.0,40.0,40.0,0,1,0,0,0,1,0,0
440.0,65.0,70.0,60.0,65.0,65.0,115.0,0,1,0,0,0,1,0,0
440.0,65.0,60.0,60.0,75.0,65.0,115.0,0,1,0,0,0,1,0,0
320.0,50.0,52.0,48.0,65.0,50.0,55.0,0,1,0,0,0,1,0,0
500.0,80.0,82.0,78.0,95.0,80.0,85.0,0,1,0,0,0,1,0,0
305.0,40.0,80.0,35.0,35.0,45.0,70.0,0,1,0,0,0,1,0,0
455.0,65.0,105.0,60.0,60.0,70.0,95.0,0,1,0,0,0,1,0,0
350.0,55.0,70.0,45.0,70.0,50.0,60.0,0,1,0,0,0,0,0,1
555.0,90.0,110.0,80.0,100.0,80.0,95.0,0,1,0,0,0,0,0,1
300.0,40.0,50.0,40.0,40.0,40.0,90.0,0,1,0,0,0,0,1,0
385.0,65.0,65.0,65.0,50.0,50.0,90.0,0,1,0,0,0,0,1,0
510.0,90.0,95.0,95.0,70.0,90.0,70.0,0,1,0,0,0,0,1,0
310.0,25.0,20.0,15.0,105.0,55.0,90.0,0,1,0,0,0,0,1,0
400.0,40.0,35.0,30.0,120.0,70.0,105.0,0,1,0,0,0,0,1,0
500.0,55.0,50.0,45.0,135.0,95.0,120.0,0,1,0,0,0,0,1,0
600.0,55.0,50.0,65.0,175.0,105.0,150.0,0,1,0,0,0,0,1,0
305.0,70.0,80.0,50.0,35.0,35.0,35.0,0,1,0,0,0,0,1,0
405.0,80.0,100.0,70.0,50.0,60.0,45.0,0,1,0,0,0,0,1,0
505.0,90.0,130.0,80.0,65.0,85.0,55.0,0,1,0,0,0,0,1,0
300.0,50.0,75.0,35.0,70.0,30.0,40.0,0,1,0,0,0,0,1,0
390.0,65.0,90.0,50.0,85.0,45.0,55.0,0,1,0,0,0,0,1,0
490.0,80.0,105.0,65.0,100.0,70.0,70.0,0,1,0,0,0,0,1,0
335.0,40.0,40.0,35.0,50.0,100.0,70.0,0,1,0,0,0,0,0,1
515.0,80.0,70.0,65.0,80.0,120.0,100.0,0,1,0,0,0,0,0,1
300.0,40.0,80.0,100.0,30.0,30.0,20.0,0,1,0,0,0,0,1,0
300.0,40.0,80.0,100.0,30.0,30.0,20.0,0,1,0,0,0,0,1,0
390.0,55.0,95.0,115.0,45.0,45.0,35.0,0,1,0,0,0,0,1,0
390.0,55.0,95.0,115.0,45.0,45.0,35.0,0,1,0,0,0,0,1,0
495.0,80.0,120.0,130.0,55.0,65.0,45.0,0,1,0,0,0,0,1,0
495.0,80.0,120.0,130.0,55.0,65.0,45.0,0,1,0,0,0,0,1,0
410.0,50.0,85.0,55.0,65.0,65.0,90.0,0,1,0,0,0,1,0,0
410.0,50.0,85.0,55.0,65.0,65.0,90.0,0,1,0,0,0,1,0,0
500.0,65.0,100.0,70.0,80.0,80.0,105.0,0,1,0,0,0,1,0,0
500.0,65.0,100.0,70.0,80.0,80.0,105.0,0,1,0,0,0,1,0,0
315.0,90.0,65.0,65.0,40.0,40.0,15.0,0,1,0,0,0,1,0,0
490.0,95.0,75.0,110.0,100.0,80.0,30.0,0,1,0,0,0,1,0,0
590.0,95.0,75.0,180.0,130.0,80.0,30.0,0,1,0,0,0,1,0,0
325.0,25.0,35.0,70.0,95.0,55.0,45.0,0,1,0,0,0,1,0,0
465.0,50.0,60.0,95.0,120.0,70.0,70.0,0,1,0,0,0,1,0,0
377.0,52.0,90.0,55.0,58.0,62.0,60.0,0,1,0,0,0,1,0,0
377.0,52.0,95.0,55.0,58.0,62.0,55.0,0,1,0,0,0,1,0,0
310.0,35.0,85.0,45.0,35.0,35.0,75.0,0,1,0,0,0,1,0,0
470.0,60.0,110.0,70.0,60.0,60.0,110.0,0,1,0,0,0,1,0,0
325.0,65.0,45.0,55.0,45.0,70.0,45.0,0,1,0,0,0,1,0,0
475.0,90.0,70.0,80.0,70.0,95.0,70.0,0,1,0,0,0,1,0,0
325.0,80.0,80.0,50.0,40.0,50.0,25.0,0,1,0,0,0,1,0,0
325.0,80.0,80.0,50.0,40.0,50.0,25.0,0,1,0,0,0,1,0,0
500.0,105.0,105.0,75.0,65.0,100.0,50.0,0,1,0,0,0,1,0,0
500.0,105.0,105.0,75.0,65.0,100.0,50.0,0,1,0,0,0,1,0,0
305.0,30.0,65.0,100.0,45.0,25.0,40.0,0,1,0,0,0,0,0,1
525.0,50.0,95.0,180.0,85.0,45.0,70.0,0,1,0,0,0,0,0,1
310.0,30.0,35.0,30.0,100.0,35.0,80.0,0,1,0,0,0,0,1,0
405.0,45.0,50.0,45.0,115.0,55.0,95.0,0,1,0,0,0,0,1,0
500.0,60.0,65.0,60.0,130.0,75.0,110.0,0,1,0,0,0,0,1,0
600.0,60.0,65.0,80.0,170.0,95.0,130.0,0,1,0,0,0,0,1,0
385.0,35.0,45.0,160.0,30.0,45.0,70.0,0,1,0,0,0,1,0,0
328.0,60.0,48.0,45.0,43.0,90.0,42.0,0,1,0,0,0,1,0,0
483.0,85.0,73.0,70.0,73.0,115.0,67.0,0,1,0,0,0,1,0,0
325.0,30.0,105.0,90.0,25.0,25.0,50.0,0,1,0,0,0,1,0,0
475.0,55.0,130.0,115.0,50.0,50.0,75.0,0,1,0,0,0,1,0,0
330.0,40.0,30.0,50.0,55.0,55.0,100.0,0,1,0,0,0,1,0,0
490.0,60.0,50.0,70.0,80.0,80.0,150.0,0,1,0,0,0,1,0,0
325.0,60.0,40.0,80.0,60.0,45.0,40.0,0,1,0,0,0,0,0,1
530.0,95.0,95.0,85.0,125.0,75.0,55.0,0,1,0,0,0,0,0,1
530.0,95.0,105.0,85.0,125.0,75.0,45.0,0,1,0,0,0,0,0,1
320.0,50.0,50.0,95.0,40.0,50.0,35.0,0,1,0,0,0,1,0,0
425.0,60.0,80.0,110.0,50.0,80.0,45.0,0,1,0,0,0,1,0,0
425.0,60.0,80.0,110.0,50.0,80.0,45.0,0,1,0,0,0,1,0,0
455.0,50.0,120.0,53.0,35.0,110.0,87.0,0,1,0,0,0,1,0,0
455.0,50.0,105.0,79.0,35.0,110.0,76.0,0,1,0,0,0,1,0,0
385.0,90.0,55.0,75.0,60.0,75.0,30.0,0,1,0,0,0,1,0,0
340.0,40.0,65.0,95.0,60.0,45.0,35.0,0,1,0,0,0,1,0,0
490.0,65.0,90.0,120.0,85.0,70.0,60.0,0,1,0,0,0,1,0,0
490.0,65.0,90.0,120.0,85.0,70.0,60.0,0,1,0,0,0,1,0,0
345.0,80.0,85.0,95.0,30.0,30.0,25.0,0,1,0,0,0,0,0,1
485.0,105.0,130.0,120.0,45.0,45.0,40.0,0,1,0,0,0,0,0,1
450.0,250.0,5.0,5.0,35.0,105.0,50.0,0,1,0,1,0,0,0,0
435.0,65.0,55.0,115.0,100.0,40.0,60.0,0,1,0,0,0,1,0,0
490.0,105.0,95.0,80.0,40.0,80.0,90.0,0,1,0,0,0,1,0,0
590.0,105.0,125.0,100.0,60.0,100.0,100.0,0,1,0,0,0,1,0,0
295.0,30.0,40.0,70.0,70.0,25.0,60.0,0,1,0,0,0,1,0,0
440.0,55.0,65.0,95.0,95.0,45.0,85.0,0,1,0,0,0,1,0,0
320.0,45.0,67.0,60.0,35.0,50.0,63.0,0,1,0,0,0,1,0,0
450.0,80.0,92.0,65.0,65.0,80.0,68.0,0,1,0,0,0,1,0,0
340.0,30.0,45.0,55.0,70.0,55.0,85.0,0,1,0,0,0,0,0,1
520.0,60.0,75.0,85.0,100.0,85.0,115.0,0,1,0,0,0,0,0,1
460.0,40.0,45.0,65.0,100.0,120.0,90.0,0,1,0,0,0,1,0,0
460.0,50.0,65.0,65.0,90.0,90.0,100.0,0,1,0,0,0,1,0,0
500.0,70.0,110.0,80.0,55.0,80.0,105.0,0,1,0,0,0,1,0,0
455.0,65.0,50.0,35.0,115.0,95.0,95.0,0,1,0,0,0,1,0,0
490.0,65.0,83.0,57.0,95.0,85.0,105.0,0,1,0,0,0,1,0,0
495.0,65.0,95.0,57.0,100.0,85.0,93.0,0,1,0,0,0,1,0,0
500.0,65.0,125.0,100.0,55.0,70.0,85.0,0,1,0,0,0,0,0,1
600.0,65.0,155.0,120.0,65.0,90.0,105.0,0,1,0,0,0,0,0,1
490.0,75.0,100.0,95.0,40.0,70.0,110.0,0,1,0,0,0,0,0,1
200.0,20.0,10.0,55.0,15.0,20.0,80.0,0,1,0,0,0,0,0,1
540.0,95.0,125.0,79.0,60.0,100.0,81.0,0,1,0,0,0,0,0,1
640.0,95.0,155.0,109.0,70.0,130.0,81.0,0,1,0,0,0,0,0,1
535.0,130.0,85.0,80.0,85.0,95.0,60.0,0,1,0,0,0,0,0,1
288.0,48.0,48.0,48.0,48.0,48.0,48.0,0,1,0,0,0,1,0,0
325.0,55.0,55.0,50.0,45.0,65.0,55.0,0,1,0,0,0,1,0,0
435.0,65.0,75.0,70.0,65.0,85.0,75.0,0,1,0,0,0,1,0,0
525.0,130.0,65.0,60.0,110.0,95.0,65.0,0,1,0,0,0,1,0,0
525.0,65.0,65.0,60.0,110.0,95.0,130.0,0,1,0,0,0,1,0,0
525.0,65.0,130.0,60.0,95.0,110.0,65.0,0,1,0,0,0,1,0,0
395.0,65.0,60.0,70.0,85.0,75.0,40.0,0,1,0,0,0,1,0,0
355.0,35.0,40.0,100.0,90.0,55.0,35.0,0,1,0,0,0,1,0,0
495.0,70.0,60.0,125.0,115.0,70.0,55.0,0,1,0,0,0,1,0,0
355.0,30.0,80.0,90.0,55.0,45.0,55.0,0,1,0,0,0,1,0,0
495.0,60.0,115.0,105.0,65.0,70.0,80.0,0,1,0,0,0,1,0,0
515.0,80.0,105.0,65.0,60.0,75.0,130.0,0,1,0,0,0,0,0,1
615.0,80.0,135.0,85.0,70.0,95.0,150.0,0,1,0,0,0,0,0,1
540.0,160.0,110.0,65.0,65.0,110.0,30.0,0,1,0,0,0,0,0,1
580.0,90.0,85.0,100.0,95.0,125.0,85.0,0,0,1,0,0,0,0,1
580.0,90.0,90.0,85.0,125.0,90.0,100.0,0,0,1,0,0,0,0,1
580.0,90.0,100.0,90.0,125.0,85.0,90.0,0,0,1,0,0,0,0,1
300.0,41.0,64.0,45.0,50.0,50.0,50.0,0,1,0,0,0,0,0,1
420.0,61.0,84.0,65.0,70.0,70.0,70.0,0,1,0,0,0,0,0,1
600.0,91.0,134.0,95.0,100.0,100.0,80.0,0,1,0,0,0,0,0,1
680.0,106.0,110.0,90.0,154.0,90.0,130.0,0,0,0,0,0,0,0,1
780.0,106.0,190.0,100.0,154.0,100.0,130.0,0,0,0,0,0,0,0,1
780.0,106.0,150.0,70.0,194.0,120.0,140.0,0,0,0,0,0,0,0,1
600.0,100.0,100.0,100.0,100.0,100.0,100.0,1,0,0,0,0,0,1,0
318.0,45.0,49.0,65.0,49.0,65.0,45.0,0,1,0,0,0,0,1,0
405.0,60.0,62.0,80.0,63.0,80.0,60.0,0,1,0,0,0,0,1,0
525.0,80.0,82.0,100.0,83.0,100.0,80.0,0,1,0,0,0,0,1,0
309.0,39.0,52.0,43.0,60.0,50.0,65.0,0,1,0,0,0,0,1,0
405.0,58.0,64.0,58.0,80.0,65.0,80.0,0,1,0,0,0,0,1,0
534.0,78.0,84.0,78.0,109.0,85.0,100.0,0,1,0,0,0,0,1,0
314.0,50.0,65.0,64.0,44.0,48.0,43.0,0,1,0,0,0,0,1,0
405.0,65.0,80.0,80.0,59.0,63.0,58.0,0,1,0,0,0,0,1,0
530.0,85.0,105.0,100.0,79.0,83.0,78.0,0,1,0,0,0,0,1,0
215.0,35.0,46.0,34.0,35.0,45.0,20.0,0,1,0,0,0,1,0,0
415.0,85.0,76.0,64.0,45.0,55.0,90.0,0,1,0,0,0,1,0,0
262.0,60.0,30.0,30.0,36.0,56.0,50.0,0,1,0,0,0,1,0,0
452.0,100.0,50.0,50.0,86.0,96.0,70.0,0,1,0,0,0,1,0,0
265.0,40.0,20.0,30.0,40.0,80.0,55.0,0,1,0,1,0,0,0,0
390.0,55.0,35.0,50.0,55.0,110.0,85.0,0,1,0,1,0,0,0,0
250.0,40.0,60.0,40.0,40.0,40.0,30.0,0,1,0,1,0,0,0,0
400.0,70.0,90.0,70.0,60.0,70.0,40.0,0,1,0,1,0,0,0,0
535.0,85.0,90.0,80.0,70.0,80.0,130.0,0,1,0,0,0,1,0,0
330.0,75.0,38.0,38.0,56.0,56.0,67.0,0,1,0,0,0,0,0,1
460.0,125.0,58.0,58.0,76.0,76.0,67.0,0,1,0,0,0,0,0,1
205.0,20.0,40.0,15.0,35.0,35.0,60.0,0,1,0,0,0,1,0,0
218.0,50.0,25.0,28.0,45.0,55.0,15.0,0,1,0,1,0,0,0,0
210.0,90.0,30.0,15.0,40.0,20.0,15.0,0,1,0,1,0,0,0,0
245.0,35.0,20.0,65.0,40.0,65.0,20.0,0,1,0,1,0,0,0,0
405.0,55.0,40.0,85.0,80.0,105.0,40.0,0,1,0,1,0,0,0,0
320.0,40.0,50.0,45.0,70.0,45.0,70.0,0,1,0,0,0,1,0,0
470.0,65.0,75.0,70.0,95.0,70.0,95.0,0,1,0,0,0,1,0,0
280.0,55.0,40.0,40.0,65.0,45.0,35.0,0,1,0,0,0,0,1,0
365.0,70.0,55.0,55.0,80.0,60.0,45.0,0,1,0,0,0,0,1,0
510.0,90.0,75.0,85.0,115.0,90.0,55.0,0,1,0,0,0,0,1,0
610.0,90.0,95.0,105.0,165.0,110.0,45.0,0,1,0,0,0,0,1,0
490.0,75.0,80.0,95.0,90.0,100.0,50.0,0,1,0,0,0,0,1,0
250.0,70.0,20.0,50.0,20.0,50.0,40.0,0,1,0,1,0,0,0,0
420.0,100.0,50.0,80.0,60.0,80.0,50.0,0,1,0,1,0,0,0,0
410.0,70.0,100.0,115.0,30.0,65.0,30.0,0,1,0,0,0,1,0,0
500.0,90.0,75.0,75.0,90.0,100.0,70.0,0,1,0,0,0,0,1,0
250.0,35.0,35.0,40.0,35.0,55.0,50.0,0,1,0,0,0,0,1,0
340.0,55.0,45.0,50.0,45.0,65.0,80.0,0,1,0,0,0,0,1,0
460.0,75.0,55.0,70.0,55.0,95.0,110.0,0,1,0,0,0,0,1,0
360.0,55.0,70.0,55.0,40.0,55.0,85.0,0,1,0,1,0,0,0,0
180.0,30.0,30.0,30.0,30.0,30.0,30.0,0,1,0,0,0,0,1,0
425.0,75.0,75.0,55.0,105.0,85.0,30.0,0,1,0,0,0,0,1,0
390.0,65.0,65.0,45.0,75.0,45.0,95.0,0,1,0,0,0,1,0,0
210.0,55.0,45.0,45.0,25.0,25.0,15.0,0,1,0,0,0,1,0,0
430.0,95.0,85.0,85.0,65.0,65.0,35.0,0,1,0,0,0,1,0,0
525.0,65.0,65.0,60.0,130.0,95.0,110.0,0,1,0,0,0,1,0,0
525.0,95.0,65.0,110.0,60.0,130.0,65.0,0,1,0,0,0,1,0,0
405.0,60.0,85.0,42.0,85.0,42.0,91.0,0,1,0,0,0,0,1,0
490.0,95.0,75.0,80.0,100.0,110.0,30.0,0,1,0,0,0,1,0,0
435.0,60.0,60.0,60.0,85.0,85.0,85.0,0,1,0,1,0,0,0,0
336.0,48.0,72.0,48.0,72.0,48.0,48.0,0,1,0,0,0,1,0,0
405.0,190.0,33.0,58.0,33.0,58.0,33.0,0,1,0,0,0,1,0,0
455.0,70.0,80.0,65.0,90.0,65.0,85.0,0,1,0,0,0,1,0,0
290.0,50.0,65.0,90.0,35.0,35.0,15.0,0,1,0,0,0,1,0,0
465.0,75.0,90.0,140.0,60.0,60.0,40.0,0,1,0,0,0,1,0,0
415.0,100.0,70.0,70.0,65.0,65.0,45.0,0,1,0,0,0,1,0,0
430.0,65.0,75.0,105.0,35.0,65.0,85.0,0,1,0,0,0,0,1,0
510.0,75.0,85.0,200.0,55.0,65.0,30.0,0,1,0,0,0,1,0,0
610.0,75.0,125.0,230.0,55.0,95.0,30.0,0,1,0,0,0,1,0,0
300.0,60.0,80.0,50.0,40.0,40.0,30.0,0,1,0,1,0,0,0,0
450.0,90.0,120.0,75.0,60.0,60.0,45.0,0,1,0,1,0,0,0,0
440.0,65.0,95.0,85.0,55.0,55.0,85.0,0,1,0,0,0,1,0,0
500.0,70.0,130.0,100.0,55.0,80.0,65.0,0,1,0,0,0,1,0,0
600.0,70.0,150.0,140.0,65.0,100.0,75.0,0,1,0,0,0,1,0,0
505.0,20.0,10.0,230.0,10.0,230.0,5.0,0,1,0,0,0,0,1,0
500.0,80.0,125.0,75.0,40.0,95.0,85.0,0,1,0,0,0,0,0,1
600.0,80.0,185.0,115.0,40.0,105.0,75.0,0,1,0,0,0,0,0,1
430.0,55.0,95.0,55.0,35.0,75.0,115.0,0,1,0,0,0,0,1,0
330.0,60.0,80.0,50.0,50.0,50.0,40.0,0,1,0,0,0,1,0,0
500.0,90.0,130.0,75.0,75.0,75.0,55.0,0,1,0,0,0,1,0,0
250.0,40.0,40.0,40.0,70.0,40.0,20.0,0,1,0,0,0,1,0,0
430.0,60.0,50.0,120.0,90.0,80.0,30.0,0,1,0,0,0,1,0,0
250.0,50.0,50.0,40.0,30.0,30.0,50.0,0,1,0,0,0,0,0,1
450.0,100.0,100.0,80.0,60.0,60.0,50.0,0,1,0,0,0,0,0,1
410.0,65.0,55.0,95.0,65.0,95.0,35.0,0,1,0,1,0,0,0,0
410.0,60.0,55.0,100.0,65.0,100.0,30.0,0,1,0,1,0,0,0,0
300.0,35.0,65.0,35.0,65.0,35.0,65.0,0,1,0,0,0,1,0,0
480.0,75.0,105.0,75.0,105.0,75.0,45.0,0,1,0,0,0,1,0,0
330.0,45.0,55.0,45.0,65.0,45.0,75.0,0,1,0,1,0,0,0,0
485.0,85.0,40.0,70.0,80.0,140.0,70.0,0,1,0,0,0,0,0,1
465.0,65.0,80.0,140.0,40.0,70.0,70.0,0,1,0,0,0,0,0,1
330.0,45.0,60.0,30.0,80.0,50.0,65.0,0,1,0,0,0,0,0,1
500.0,75.0,90.0,50.0,110.0,80.0,95.0,0,1,0,0,0,0,0,1
600.0,75.0,90.0,90.0,140.0,90.0,115.0,0,1,0,0,0,0,0,1
540.0,75.0,95.0,95.0,95.0,95.0,85.0,0,1,0,0,0,1,0,0
330.0,90.0,60.0,60.0,40.0,40.0,40.0,0,1,0,0,0,1,0,0
500.0,90.0,120.0,120.0,60.0,60.0,50.0,0,1,0,0,0,1,0,0
515.0,85.0,80.0,90.0,105.0,95.0,60.0,0,1,0,0,0,1,0,0
465.0,73.0,95.0,62.0,85.0,65.0,85.0,0,1,0,0,0,0,0,1
250.0,55.0,20.0,35.0,20.0,45.0,75.0,0,1,0,1,0,0,0,0
210.0,35.0,35.0,35.0,35.0,35.0,35.0,0,1,0,0,0,1,0,0
455.0,50.0,95.0,95.0,35.0,110.0,70.0,0,1,0,0,0,1,0,0
305.0,45.0,30.0,15.0,85.0,65.0,65.0,0,1,0,0,0,1,0,0
360.0,45.0,63.0,37.0,65.0,55.0,95.0,0,1,0,0,0,1,0,0
365.0,45.0,75.0,37.0,70.0,55.0,83.0,0,1,0,0,0,1,0,0
490.0,95.0,80.0,105.0,40.0,70.0,100.0,0,1,0,0,0,0,0,1
540.0,255.0,10.0,10.0,75.0,135.0,55.0,0,1,0,1,0,0,0,0
580.0,90.0,85.0,75.0,115.0,100.0,115.0,0,0,1,0,0,0,0,1
580.0,115.0,115.0,85.0,90.0,75.0,100.0,0,0,1,0,0,0,0,1
580.0,100.0,75.0,115.0,90.0,115.0,85.0,0,0,1,0,0,0,0,1
300.0,50.0,64.0,50.0,45.0,50.0,41.0,0,1,0,0,0,0,0,1
410.0,70.0,84.0,70.0,65.0,70.0,51.0,0,1,0,0,0,0,0,1
600.0,100.0,134.0,110.0,95.0,100.0,61.0,0,1,0,0,0,0,0,1
700.0,100.0,164.0,150.0,95.0,120.0,71.0,0,1,0,0,0,0,0,1
680.0,106.0,90.0,130.0,90.0,154.0,110.0,0,0,0,0,0,0,0,1
680.0,106.0,130.0,90.0,110.0,154.0,90.0,0,0,0,0,0,0,0,1
600.0,100.0,100.0,100.0,100.0,100.0,100.0,1,0,0,0,0,0,1,0
310.0,40.0,45.0,35.0,65.0,55.0,70.0,0,1,0,0,0,0,1,0
405.0,50.0,65.0,45.0,85.0,65.0,95.0,0,1,0,0,0,0,1,0
530.0,70.0,85.0,65.0,105.0,85.0,120.0,0,1,0,0,0,0,1,0
630.0,70.0,110.0,75.0,145.0,85.0,145.0,0,1,0,0,0,0,1,0
310.0,45.0,60.0,40.0,70.0,50.0,45.0,0,1,0,0,0,0,1,0
405.0,60.0,85.0,60.0,85.0,60.0,55.0,0,1,0,0,0,0,1,0
530.0,80.0,120.0,70.0,110.0,70.0,80.0,0,1,0,0,0,0,1,0
630.0,80.0,160.0,80.0,130.0,80.0,100.0,0,1,0,0,0,0,1,0
310.0,50.0,70.0,50.0,50.0,50.0,40.0,0,1,0,0,0,0,1,0
405.0,70.0,85.0,70.0,60.0,70.0,50.0,0,1,0,0,0,0,1,0
535.0,100.0,110.0,90.0,85.0,90.0,60.0,0,1,0,0,0,0,1,0
635.0,100.0,150.0,110.0,95.0,110.0,70.0,0,1,0,0,0,0,1,0
220.0,35.0,55.0,35.0,30.0,30.0,35.0,0,1,0,0,0,1,0,0
420.0,70.0,90.0,70.0,60.0,60.0,70.0,0,1,0,0,0,1,0,0
