total_points,hp,attack,defense,sp_attack,sp_defense,speed
390.0,55.0,95.0,115.0,45.0,45.0,35.0
495.0,80.0,120.0,130.0,55.0,65.0,45.0
495.0,80.0,120.0,130.0,55.0,65.0,45.0
410.0,50.0,85.0,55.0,65.0,65.0,90.0
410.0,50.0,85.0,55.0,65.0,65.0,90.0
500.0,65.0,100.0,70.0,80.0,80.0,105.0
500.0,65.0,100.0,70.0,80.0,80.0,105.0
315.0,90.0,65.0,65.0,40.0,40.0,15.0
490.0,95.0,75.0,110.0,100.0,80.0,30.0
590.0,95.0,75.0,180.0,130.0,80.0,30.0
325.0,25.0,35.0,70.0,95.0,55.0,45.0
465.0,50.0,60.0,95.0,120.0,70.0,70.0
377.0,52.0,90.0,55.0,58.0,62.0,60.0
377.0,52.0,95.0,55.0,58.0,62.0,55.0
310.0,35.0,85.0,45.0,35.0,35.0,75.0
470.0,60.0,110.0,70.0,60.0,60.0,110.0
325.0,65.0,45.0,55.0,45.0,70.0,45.0
475.0,90.0,70.0,80.0,70.0,95.0,70.0
325.0,80.0,80.0,50.0,40.0,50.0,25.0
325.0,80.0,80.0,50.0,40.0,50.0,25.0
500.0,105.0,105.0,75.0,65.0,100.0,50.0
500.0,105.0,105.0,75.0,65.0,100.0,50.0
305.0,30.0,65.0,100.0,45.0,25.0,40.0
525.0,50.0,95.0,180.0,85.0,45.0,70.0
310.0,30.0,35.0,30.0,100.0,35.0,80.0
405.0,45.0,50.0,45.0,115.0,55.0,95.0
500.0,60.0,65.0,60.0,130.0,75.0,110.0
600.0,60.0,65.0,80.0,170.0,95.0,130.0
385.0,35.0,45.0,160.0,30.0,45.0,70.0
328.0,60.0,48.0,45.0,43.0,90.0,42.0
483.0,85.0,73.0,70.0,73.0,115.0,67.0
325.0,30.0,105.0,90.0,25.0,25.0,50.0
475.0,55.0,130.0,115.0,50.0,50.0,75.0
330.0,40.0,30.0,50.0,55.0,55.0,100.0
490.0,60.0,50.0,70.0,80.0,80.0,150.0
325.0,60.0,40.0,80.0,60.0,45.0,40.0
530.0,95.0,95.0,85.0,125.0,75.0,55.0
530.0,95.0,105.0,85.0,125.0,75.0,45.0
320.0,50.0,50.0,95.0,40.0,50.0,35.0
425.0,60.0,80.0,110.0,50.0,80.0,45.0
425.0,60.0,80.0,110.0,50.0,80.0,45.0
455.0,50.0,120.0,53.0,35.0,110.0,87.0
455.0,50.0,105.0,79.0,35.0,110.0,76.0
385.0,90.0,55.0,75.0,60.0,75.0,30.0
340.0,40.0,65.0,95.0,60.0,45.0,35.0
490.0,65.0,90.0,120.0,85.0,70.0,60.0
490.0,65.0,90.0,120.0,85.0,70.0,60.0
345.0,80.0,85.0,95.0,30.0,30.0,25.0
485.0,105.0,130.0,120.0,45.0,45.0,40.0
450.0,250.0,5.0,5.0,35.0,105.0,50.0
435.0,65.0,55.0,115.0,100.0,40.0,60.0
490.0,105.0,95.0,80.0,40.0,80.0,90.0
590.0,105.0,125.0,100.0,60.0,100.0,100.0
295.0,30.0,40.0,70.0,70.0,25.0,60.0
440.0,55.0,65.0,95.0,95.0,45.0,85.0
320.0,45.0,67.0,60.0,35.0,50.0,63.0
450.0,80.0,92.0,65.0,65.0,80.0,68.0
340.0,30.0,45.0,55.0,70.0,55.0,85.0
520.0,60.0,75.0,85.0,100.0,85.0,115.0
460.0,40.0,45.0,65.0,100.0,120.0,90.0
460.0,50.0,65.0,65.0,90.0,90.0,100.0
500.0,70.0,110.0,80.0,55.0,80.0,105.0
455.0,65.0,50.0,35.0,115.0,95.0,95.0
490.0,65.0,83.0,57.0,95.0,85.0,105.0
495.0,65.0,95.0,57.0,100.0,85.0,93.0
500.0,65.0,125.0,100.0,55.0,70.0,85.0
600.0,65.0,155.0,120.0,65.0,90.0,105.0
490.0,75.0,100.0,95.0,40.0,70.0,110.0
200.0,20.0,10.0,55.0,15.0,20.0,80.0
540.0,95.0,125.0,79.0,60.0,100.0,81.0
640.0,95.0,155.0,109.0,70.0,130.0,81.0
535.0,130.0,85.0,80.0,85.0,95.0,60.0
288.0,48.0,48.0,48.0,48.0,48.0,48.0
325.0,55.0,55.0,50.0,45.0,65.0,55.0
435.0,65.0,75.0,70.0,65.0,85.0,75.0
525.0,130.0,65.0,60.0,110.0,95.0,65.0
525.0,65.0,65.0,60.0,110.0,95.0,130.0
525.0,65.0,130.0,60.0,95.0,110.0,65.0
395.0,65.0,60.0,70.0,85.0,75.0,40.0
355.0,35.0,40.0,100.0,90.0,55.0,35.0
495.0,70.0,60.0,125.0,115.0,70.0,55.0
355.0,30.0,80.0,90.0,55.0,45.0,55.0
495.0,60.0,115.0,105.0,65.0,70.0,80.0
515.0,80.0,105.0,65.0,60.0,75.0,130.0
615.0,80.0,135.0,85.0,70.0,95.0,150.0
540.0,160.0,110.0,65.0,65.0,110.0,30.0
580.0,90.0,85.0,100.0,95.0,125.0,85.0
580.0,90.0,90.0,85.0,125.0,90.0,100.0
580.0,90.0,100.0,90.0,125.0,85.0,90.0
300.0,41.0,64.0,45.0,50.0,50.0,50.0
420.0,61.0,84.0,65.0,70.0,70.0,70.0
600.0,91.0,134.0,95.0,100.0,100.0,80.0
680.0,106.0,110.0,90.0,154.0,90.0,130.0
780.0,106.0,190.0,100.0,154.0,100.0,130.0
780.0,106.0,150.0,70.0,194.0,120.0,140.0
600.0,100.0,100.0,100.0,100.0,100.0,100.0
318.0,45.0,49.0,65.0,49.0,65.0,45.0
405.0,60.0,62.0,80.0,63.0,80.0,60.0
525.0,80.0,82.0,100.0,83.0,100.0,80.0
309.0,39.0,52.0,43.0,60.0,50.0,65.0
405.0,58.0,64.0,58.0,80.0,65.0,80.0
534.0,78.0,84.0,78.0,109.0,85.0,100.0
314.0,50.0,65.0,64.0,44.0,48.0,43.0
405.0,65.0,80.0,80.0,59.0,63.0,58.0
530.0,85.0,105.0,100.0,79.0,83.0,78.0
215.0,35.0,46.0,34.0,35.0,45.0,20.0
415.0,85.0,76.0,64.0,45.0,55.0,90.0
262.0,60.0,30.0,30.0,36.0,56.0,50.0
452.0,100.0,50.0,50.0,86.0,96.0,70.0
265.0,40.0,20.0,30.0,40.0,80.0,55.0
390.0,55.0,35.0,50.0,55.0,110.0,85.0
250.0,40.0,60.0,40.0,40.0,40.0,30.0
400.0,70.0,90.0,70.0,60.0,70.0,40.0
535.0,85.0,90.0,80.0,70.0,80.0,130.0
330.0,75.0,38.0,38.0,56.0,56.0,67.0
460.0,125.0,58.0,58.0,76.0,76.0,67.0
205.0,20.0,40.0,15.0,35.0,35.0,60.0
218.0,50.0,25.0,28.0,45.0,55.0,15.0
210.0,90.0,30.0,15.0,40.0,20.0,15.0
245.0,35.0,20.0,65.0,40.0,65.0,20.0
405.0,55.0,40.0,85.0,80.0,105.0,40.0
320.0,40.0,50.0,45.0,70.0,45.0,70.0
470.0,65.0,75.0,70.0,95.0,70.0,95.0
280.0,55.0,40.0,40.0,65.0,45.0,35.0
365.0,70.0,55.0,55.0,80.0,60.0,45.0
510.0,90.0,75.0,85.0,115.0,90.0,55.0
610.0,90.0,95.0,105.0,165.0,110.0,45.0
490.0,75.0,80.0,95.0,90.0,100.0,50.0
250.0,70.0,20.0,50.0,20.0,50.0,40.0
420.0,100.0,50.0,80.0,60.0,80.0,50.0
410.0,70.0,100.0,115.0,30.0,65.0,30.0
500.0,90.0,75.0,75.0,90.0,100.0,70.0
250.0,35.0,35.0,40.0,35.0,55.0,50.0
340.0,55.0,45.0,50.0,45.0,65.0,80.0
460.0,75.0,55.0,70.0,55.0,95.0,110.0
360.0,55.0,70.0,55.0,40.0,55.0,85.0
180.0,30.0,30.0,30.0,30.0,30.0,30.0
425.0,75.0,75.0,55.0,105.0,85.0,30.0
390.0,65.0,65.0,45.0,75.0,45.0,95.0
210.0,55.0,45.0,45.0,25.0,25.0,15.0
430.0,95.0,85.0,85.0,65.0,65.0,35.0
525.0,65.0,65.0,60.0,130.0,95.0,110.0
525.0,95.0,65.0,110.0,60.0,130.0,65.0
405.0,60.0,85.0,42.0,85.0,42.0,91.0
490.0,95.0,75.0,80.0,100.0,110.0,30.0
435.0,60.0,60.0,60.0,85.0,85.0,85.0
336.0,48.0,72.0,48.0,72.0,48.0,48.0
405.0,190.0,33.0,58.0,33.0,58.0,33.0
455.0,70.0,80.0,65.0,90.0,65.0,85.0
290.0,50.0,65.0,90.0,35.0,35.0,15.0
465.0,75.0,90.0,140.0,60.0,60.0,40.0
415.0,100.0,70.0,70.0,65.0,65.0,45.0
430.0,65.0,75.0,105.0,35.0,65.0,85.0
510.0,75.0,85.0,200.0,55.0,65.0,30.0
610.0,75.0,125.0,230.0,55.0,95.0,30.0
300.0,60.0,80.0,50.0,40.0,40.0,30.0
450.0,90.0,120.0,75.0,60.0,60.0,45.0
440.0,65.0,95.0,85.0,55.0,55.0,85.0
500.0,70.0,130.0,100.0,55.0,80.0,65.0
600.0,70.0,150.0,140.0,65.0,100.0,75.0
505.0,20.0,10.0,230.0,10.0,230.0,5.0
500.0,80.0,125.0,75.0,40.0,95.0,85.0
600.0,80.0,185.0,115.0,40.0,105.0,75.0
430.0,55.0,95.0,55.0,35.0,75.0,115.0
330.0,60.0,80.0,50.0,50.0,50.0,40.0
500.0,90.0,130.0,75.0,75.0,75.0,55.0
250.0,40.0,40.0,40.0,70.0,40.0,20.0
430.0,60.0,50.0,120.0,90.0,80.0,30.0
250.0,50.0,50.0,40.0,30.0,30.0,50.0
450.0,100.0,100.0,80.0,60.0,60.0,50.0
410.0,65.0,55.0,95.0,65.0,95.0,35.0
410.0,60.0,55.0,100.0,65.0,100.0,30.0
300.0,35.0,65.0,35.0,65.0,35.0,65.0
480.0,75.0,105.0,75.0,105.0,75.0,45.0
330.0,45.0,55.0,45.0,65.0,45.0,75.0
485.0,85.0,40.0,70.0,80.0,140.0,70.0
465.0,65.0,80.0,140.0,40.0,70.0,70.0
330.0,45.0,60.0,30.0,80.0,50.0,65.0
500.0,75.0,90.0,50.0,110.0,80.0,95.0
600.0,75.0,90.0,90.0,140.0,90.0,115.0
540.0,75.0,95.0,95.0,95.0,95.0,85.0
330.0,90.0,60.0,60.0,40.0,40.0,40.0
500.0,90.0,120.0,120.0,60.0,60.0,50.0
515.0,85.0,80.0,90.0,105.0,95.0,60.0
465.0,73.0,95.0,62.0,85.0,65.0,85.0
250.0,55.0,20.0,35.0,20.0,45.0,75.0
210.0,35.0,35.0,35.0,35.0,35.0,35.0
455.0,50.0,95.0,95.0,35.0,110.0,70.0
305.0,45.0,30.0,15.0,85.0,65.0,65.0
360.0,45.0,63.0,37.0,65.0,55.0,95.0
365.0,45.0,75.0,37.0,70.0,55.0,83.0
490.0,95.0,80.0,105.0,40.0,70.0,100.0
540.0,255.0,10.0,10.0,75.0,135.0,55.0
580.0,90.0,85.0,75.0,115.0,100.0,115.0
580.0,115.0,115.0,85.0,90.0,75.0,100.0
580.0,100.0,75.0,115.0,90.0,115.0,85.0
300.0,50.0,64.0,50.0,45.0,50.0,41.0
410.0,70.0,84.0,70.0,65.0,70.0,51.0
600.0,100.0,134.0,110.0,95.0,100.0,61.0
700.0,100.0,164.0,150.0,95.0,120.0,71.0
680.0,106.0,90.0,130.0,90.0,154.0,110.0
680.0,106.0,130.0,90.0,110.0,154.0,90.0
600.0,100.0,100.0,100.0,100.0,100.0,100.0
310.0,40.0,45.0,35.0,65.0,55.0,70.0
405.0,50.0,65.0,45.0,85.0,65.0,95.0
530.0,70.0,85.0,65.0,105.0,85.0,120.0
630.0,70.0,110.0,75.0,145.0,85.0,145.0
310.0,45.0,60.0,40.0,70.0,50.0,45.0
405.0,60.0,85.0,60.0,85.0,60.0,55.0
530.0,80.0,120.0,70.0,110.0,70.0,80.0
630.0,80.0,160.0,80.0,130.0,80.0,100.0
310.0,50.0,70.0,50.0,50.0,50.0,40.0
405.0,70.0,85.0,70.0,60.0,70.0,50.0
535.0,100.0,110.0,90.0,85.0,90.0,60.0
635.0,100.0,150.0,110.0,95.0,110.0,70.0
220.0,35.0,55.0,35.0,30.0,30.0,35.0
420.0,70.0,90.0,70.0,60.0,60.0,70.0
240.0,38.0,30.0,41.0,30.0,41.0,60.0
240.0,38.0,30.0,41.0,30.0,41.0,60.0
420.0,78.0,70.0,61.0,50.0,61.0,100.0
420.0,78.0,70.0,61.0,50.0,61.0,100.0
195.0,45.0,45.0,35.0,20.0,30.0,20.0
205.0,50.0,35.0,55.0,25.0,25.0,15.0
395.0,60.0,70.0,50.0,100.0,50.0,65.0
205.0,50.0,35.0,55.0,25.0,25.0,15.0
385.0,60.0,50.0,70.0,50.0,90.0,65.0
220.0,40.0,30.0,30.0,40.0,50.0,30.0
340.0,60.0,50.0,50.0,60.0,70.0,50.0
480.0,80.0,70.0,70.0,90.0,100.0,70.0
220.0,40.0,40.0,50.0,30.0,30.0,30.0
340.0,70.0,70.0,40.0,60.0,40.0,60.0
480.0,90.0,100.0,60.0,90.0,60.0,80.0
270.0,40.0,55.0,30.0,30.0,30.0,85.0
455.0,60.0,85.0,60.0,75.0,50.0,125.0
270.0,40.0,30.0,30.0,55.0,30.0,85.0
440.0,60.0,50.0,100.0,95.0,70.0,65.0
198.0,28.0,25.0,25.0,45.0,35.0,40.0
278.0,38.0,35.0,35.0,65.0,55.0,50.0
518.0,68.0,65.0,65.0,125.0,115.0,80.0
618.0,68.0,85.0,65.0,165.0,135.0,100.0
269.0,40.0,30.0,32.0,50.0,52.0,65.0
454.0,70.0,60.0,62.0,100.0,82.0,80.0
295.0,60.0,40.0,60.0,40.0,60.0,35.0
460.0,60.0,130.0,80.0,60.0,60.0,70.0
280.0,60.0,60.0,60.0,35.0,35.0,30.0
440.0,80.0,80.0,80.0,55.0,55.0,90.0
670.0,150.0,160.0,100.0,95.0,65.0,100.0
266.0,31.0,45.0,90.0,30.0,30.0,40.0
456.0,61.0,90.0,45.0,50.0,50.0,160.0
236.0,1.0,90.0,45.0,30.0,30.0,40.0
240.0,64.0,51.0,23.0,51.0,23.0,28.0
360.0,84.0,71.0,43.0,71.0,43.0,48.0
490.0,104.0,91.0,63.0,91.0,73.0,68.0
237.0,72.0,60.0,30.0,20.0,30.0,25.0
474.0,144.0,120.0,60.0,40.0,60.0,50.0
190.0,50.0,20.0,40.0,20.0,40.0,20.0
375.0,30.0,45.0,135.0,45.0,90.0,30.0
260.0,50.0,45.0,45.0,35.0,35.0,50.0
400.0,70.0,65.0,65.0,55.0,55.0,90.0
380.0,50.0,75.0,75.0,65.0,65.0,50.0
480.0,50.0,85.0,125.0,85.0,115.0,20.0
380.0,50.0,85.0,85.0,55.0,55.0,50.0
480.0,50.0,105.0,125.0,55.0,95.0,50.0
330.0,50.0,70.0,100.0,40.0,40.0,30.0
430.0,60.0,90.0,140.0,50.0,50.0,40.0
530.0,70.0,110.0,180.0,60.0,60.0,50.0
630.0,70.0,140.0,230.0,60.0,80.0,50.0
280.0,30.0,40.0,55.0,40.0,55.0,60.0
410.0,60.0,60.0,75.0,60.0,75.0,80.0
510.0,60.0,100.0,85.0,80.0,85.0,100.0
295.0,40.0,45.0,40.0,65.0,40.0,65.0
475.0,70.0,75.0,60.0,105.0,60.0,105.0
575.0,70.0,75.0,80.0,135.0,80.0,135.0
405.0,60.0,50.0,40.0,85.0,75.0,95.0
405.0,60.0,40.0,50.0,75.0,85.0,95.0
430.0,65.0,73.0,75.0,47.0,85.0,85.0
430.0,65.0,47.0,75.0,73.0,85.0,85.0
400.0,50.0,60.0,45.0,100.0,80.0,65.0
302.0,70.0,43.0,53.0,43.0,53.0,40.0
467.0,100.0,73.0,83.0,73.0,83.0,55.0
305.0,45.0,90.0,20.0,65.0,20.0,65.0
460.0,70.0,120.0,40.0,95.0,40.0,95.0
560.0,70.0,140.0,70.0,110.0,65.0,105.0
400.0,130.0,70.0,35.0,70.0,35.0,60.0
500.0,170.0,90.0,45.0,90.0,45.0,60.0
305.0,60.0,60.0,40.0,65.0,45.0,35.0
460.0,70.0,100.0,70.0,105.0,75.0,40.0
560.0,70.0,120.0,100.0,145.0,105.0,20.0
470.0,70.0,85.0,140.0,85.0,70.0,20.0
330.0,60.0,25.0,35.0,70.0,80.0,60.0
470.0,80.0,45.0,65.0,90.0,110.0,80.0
360.0,60.0,60.0,60.0,60.0,60.0,60.0
290.0,45.0,100.0,45.0,45.0,45.0,10.0
340.0,50.0,70.0,50.0,50.0,50.0,70.0
520.0,80.0,100.0,80.0,80.0,80.0,100.0
335.0,50.0,85.0,40.0,85.0,40.0,35.0
475.0,70.0,115.0,60.0,115.0,60.0,55.0
310.0,45.0,40.0,60.0,40.0,75.0,50.0
490.0,75.0,70.0,90.0,70.0,105.0,80.0
590.0,75.0,110.0,110.0,110.0,105.0,80.0
458.0,73.0,115.0,60.0,60.0,60.0,90.0
458.0,73.0,100.0,60.0,100.0,60.0,65.0
460.0,90.0,55.0,65.0,95.0,85.0,70.0
460.0,90.0,95.0,85.0,55.0,65.0,70.0
288.0,50.0,48.0,43.0,46.0,41.0,60.0
468.0,110.0,78.0,73.0,76.0,71.0,60.0
308.0,43.0,80.0,65.0,50.0,35.0,35.0
468.0,63.0,120.0,85.0,90.0,55.0,55.0
300.0,40.0,40.0,55.0,40.0,70.0,55.0
500.0,60.0,70.0,105.0,70.0,120.0,75.0
355.0,66.0,41.0,77.0,61.0,87.0,23.0
495.0,86.0,81.0,97.0,81.0,107.0,43.0
355.0,45.0,95.0,50.0,40.0,50.0,75.0
495.0,75.0,125.0,100.0,70.0,80.0,45.0
200.0,20.0,15.0,20.0,10.0,55.0,80.0
540.0,95.0,60.0,79.0,100.0,125.0,81.0
420.0,70.0,70.0,70.0,70.0,70.0,70.0
420.0,70.0,70.0,70.0,70.0,70.0,70.0
420.0,70.0,70.0,70.0,70.0,70.0,70.0
420.0,70.0,70.0,70.0,70.0,70.0,70.0
440.0,60.0,90.0,70.0,60.0,120.0,40.0
295.0,44.0,75.0,35.0,63.0,33.0,45.0
455.0,64.0,115.0,65.0,83.0,63.0,65.0
555.0,64.0,165.0,75.0,93.0,83.0,75.0
295.0,20.0,40.0,90.0,30.0,90.0,25.0
455.0,40.0,70.0,130.0,60.0,130.0,25.0
460.0,99.0,68.0,83.0,72.0,87.0,51.0
455.0,75.0,50.0,80.0,95.0,90.0,65.0
465.0,65.0,130.0,60.0,75.0,60.0,75.0
565.0,65.0,150.0,60.0,115.0,60.0,115.0
260.0,95.0,23.0,48.0,23.0,48.0,23.0
300.0,50.0,50.0,50.0,50.0,50.0,50.0
480.0,80.0,80.0,80.0,80.0,80.0,80.0
580.0,80.0,120.0,80.0,120.0,80.0,100.0
290.0,70.0,40.0,50.0,55.0,50.0,25.0
410.0,90.0,60.0,70.0,75.0,70.0,45.0
530.0,110.0,80.0,90.0,95.0,90.0,65.0
345.0,35.0,64.0,85.0,74.0,55.0,32.0
485.0,55.0,104.0,105.0,94.0,75.0,52.0
485.0,55.0,84.0,105.0,114.0,75.0,52.0
485.0,100.0,90.0,130.0,45.0,65.0,55.0
330.0,43.0,30.0,55.0,40.0,65.0,97.0
300.0,45.0,75.0,60.0,40.0,30.0,50.0
420.0,65.0,95.0,100.0,60.0,50.0,50.0
600.0,95.0,135.0,80.0,110.0,80.0,100.0
700.0,95.0,145.0,130.0,120.0,90.0,120.0
300.0,40.0,55.0,80.0,35.0,60.0,30.0
420.0,60.0,75.0,100.0,55.0,80.0,50.0
600.0,80.0,135.0,130.0,95.0,90.0,70.0
700.0,80.0,145.0,150.0,105.0,110.0,110.0
580.0,80.0,100.0,200.0,50.0,100.0,50.0
580.0,80.0,50.0,100.0,100.0,200.0,50.0
580.0,80.0,75.0,150.0,75.0,150.0,50.0
600.0,80.0,80.0,90.0,110.0,130.0,110.0
700.0,80.0,100.0,120.0,140.0,150.0,110.0
600.0,80.0,90.0,80.0,130.0,110.0,110.0
700.0,80.0,130.0,100.0,160.0,120.0,110.0
670.0,100.0,100.0,90.0,150.0,140.0,90.0
770.0,100.0,150.0,90.0,180.0,160.0,90.0
670.0,100.0,150.0,140.0,100.0,90.0,90.0
770.0,100.0,180.0,160.0,150.0,90.0,90.0
680.0,105.0,150.0,90.0,150.0,90.0,95.0
780.0,105.0,180.0,100.0,180.0,100.0,115.0
600.0,100.0,100.0,100.0,100.0,100.0,100.0
600.0,50.0,150.0,50.0,150.0,50.0,150.0
600.0,50.0,180.0,20.0,180.0,20.0,150.0
600.0,50.0,70.0,160.0,70.0,160.0,90.0
600.0,50.0,95.0,90.0,95.0,90.0,180.0
318.0,55.0,68.0,64.0,45.0,55.0,31.0
405.0,75.0,89.0,85.0,55.0,65.0,36.0
525.0,95.0,109.0,105.0,75.0,85.0,56.0
309.0,44.0,58.0,44.0,58.0,44.0,61.0
405.0,64.0,78.0,52.0,78.0,52.0,81.0
534.0,76.0,104.0,71.0,104.0,71.0,108.0
314.0,53.0,51.0,53.0,61.0,56.0,40.0
405.0,64.0,66.0,68.0,81.0,76.0,50.0
530.0,84.0,86.0,88.0,111.0,101.0,60.0
245.0,40.0,55.0,30.0,30.0,30.0,60.0
340.0,55.0,75.0,50.0,40.0,40.0,80.0
485.0,85.0,120.0,70.0,50.0,60.0,100.0
250.0,59.0,45.0,40.0,35.0,40.0,31.0
410.0,79.0,85.0,60.0,55.0,60.0,71.0
194.0,37.0,25.0,41.0,25.0,41.0,25.0
384.0,77.0,85.0,51.0,55.0,51.0,65.0
263.0,45.0,65.0,34.0,40.0,34.0,45.0
363.0,60.0,85.0,49.0,60.0,49.0,60.0
523.0,80.0,120.0,79.0,95.0,79.0,70.0
280.0,40.0,30.0,35.0,50.0,70.0,55.0
515.0,60.0,70.0,65.0,125.0,105.0,90.0
350.0,67.0,125.0,40.0,30.0,30.0,58.0
495.0,97.0,165.0,60.0,65.0,50.0,58.0
350.0,30.0,42.0,118.0,42.0,88.0,30.0
495.0,60.0,52.0,168.0,47.0,138.0,30.0
224.0,40.0,29.0,45.0,29.0,45.0,36.0
424.0,60.0,59.0,85.0,79.0,105.0,36.0
424.0,60.0,79.0,105.0,59.0,85.0,36.0
424.0,60.0,69.0,95.0,69.0,95.0,36.0
424.0,70.0,94.0,50.0,94.0,50.0,66.0
244.0,30.0,30.0,42.0,30.0,42.0,70.0
474.0,70.0,80.0,102.0,80.0,102.0,40.0
405.0,60.0,45.0,70.0,45.0,90.0,95.0
330.0,55.0,65.0,35.0,60.0,30.0,85.0
