pokedex_number,name,generation,status,species,type_1,type_2,height_m,weight_kg,total_points,hp,attack,defense,sp_attack,sp_defense,speed,catch_rate,base_friendship,base_experience,growth_rate
8,Wartortle,1,Normal,Turtle Pokémon,Water,,1.0,22.5,405.0,59.0,63.0,80.0,65.0,80.0,58.0,45.0,70.0,142.0,Medium Slow
9,Blastoise,1,Normal,Shellfish Pokémon,Water,,1.6,85.5,530.0,79.0,83.0,100.0,85.0,105.0,78.0,45.0,70.0,239.0,Medium Slow
9,Mega Blastoise,1,Normal,Shellfish Pokémon,Water,,1.6,101.1,630.0,79.0,103.0,120.0,135.0,115.0,78.0,45.0,70.0,284.0,Medium Slow
10,Caterpie,1,Normal,Worm Pokémon,Bug,,0.3,2.9,195.0,45.0,30.0,35.0,20.0,20.0,45.0,255.0,70.0,39.0,Medium Fast
11,Metapod,1,Normal,Cocoon Pokémon,Bug,,0.7,9.9,205.0,50.0,20.0,55.0,25.0,25.0,30.0,120.0,70.0,72.0,Medium Fast
12,Butterfree,1,Normal,Butterfly Pokémon,Bug,Flying,1.1,32.0,395.0,60.0,45.0,50.0,90.0,80.0,70.0,45.0,70.0,178.0,Medium Fast
13,Weedle,1,Normal,Hairy Bug Pokémon,Bug,Poison,0.3,3.2,195.0,40.0,35.0,30.0,20.0,20.0,50.0,255.0,70.0,39.0,Medium Fast
14,Kakuna,1,Normal,Cocoon Pokémon,Bug,Poison,0.6,10.0,205.0,45.0,25.0,50.0,25.0,25.0,35.0,120.0,70.0,72.0,Medium Fast
15,Beedrill,1,Normal,Poison Bee Pokémon,Bug,Poison,1.0,29.5,395.0,65.0,90.0,40.0,45.0,80.0,75.0,45.0,70.0,178.0,Medium Fast
15,Mega Beedrill,1,Normal,Poison Bee Pokémon,Bug,Poison,1.4,40.5,495.0,65.0,150.0,40.0,15.0,80.0,145.0,45.0,70.0,223.0,Medium Fast
16,Pidgey,1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,1.8,251.0,40.0,45.0,40.0,35.0,35.0,56.0,255.0,70.0,50.0,Medium Slow
17,Pidgeotto,1,Normal,Bird Pokémon,Normal,Flying,1.1,30.0,349.0,63.0,60.0,55.0,50.0,50.0,71.0,120.0,70.0,122.0,Medium Slow
18,Pidgeot,1,Normal,Bird Pokémon,Normal,Flying,1.5,39.5,479.0,83.0,80.0,75.0,70.0,70.0,101.0,45.0,70.0,216.0,Medium Slow
18,Mega Pidgeot,1,Normal,Bird Pokémon,Normal,Flying,2.2,50.5,579.0,83.0,80.0,80.0,135.0,80.0,121.0,45.0,70.0,261.0,Medium Slow
19,Rattata,1,Normal,Mouse Pokémon,Normal,,0.3,3.5,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,70.0,51.0,Medium Fast
19,Alolan Rattata,1,Normal,Mouse Pokémon,Dark,Normal,0.3,3.8,253.0,30.0,56.0,35.0,25.0,35.0,72.0,255.0,70.0,51.0,Medium Fast
20,Raticate,1,Normal,Mouse Pokémon,Normal,,0.7,18.5,413.0,55.0,81.0,60.0,50.0,70.0,97.0,127.0,70.0,145.0,Medium Fast
20,Alolan Raticate,1,Normal,Mouse Pokémon,Dark,Normal,0.7,25.5,413.0,75.0,71.0,70.0,40.0,80.0,77.0,127.0,70.0,145.0,Medium Fast
21,Spearow,1,Normal,Tiny Bird Pokémon,Normal,Flying,0.3,2.0,262.0,40.0,60.0,30.0,31.0,31.0,70.0,255.0,70.0,52.0,Medium Fast
22,Fearow,1,Normal,Beak Pokémon,Normal,Flying,1.2,38.0,442.0,65.0,90.0,65.0,61.0,61.0,100.0,90.0,70.0,155.0,Medium Fast
23,Ekans,1,Normal,Snake Pokémon,Poison,,2.0,6.9,288.0,35.0,60.0,44.0,40.0,54.0,55.0,255.0,70.0,58.0,Medium Fast
24,Arbok,1,Normal,Cobra Pokémon,Poison,,3.5,65.0,448.0,60.0,95.0,69.0,65.0,79.0,80.0,90.0,70.0,157.0,Medium Fast
25,Pikachu,1,Normal,Mouse Pokémon,Electric,,0.4,6.0,320.0,35.0,55.0,40.0,50.0,50.0,90.0,190.0,70.0,112.0,Medium Fast
25,Partner Pikachu,1,Normal,Mouse Pokémon,Electric,,0.4,6.0,430.0,45.0,80.0,50.0,75.0,60.0,120.0,190.0,70.0,112.0,Medium Fast
26,Raichu,1,Normal,Mouse Pokémon,Electric,,0.8,30.0,485.0,60.0,90.0,55.0,90.0,80.0,110.0,75.0,70.0,218.0,Medium Fast
26,Alolan Raichu,1,Normal,Mouse Pokémon,Electric,Psychic,0.7,21.0,485.0,60.0,85.0,50.0,95.0,85.0,110.0,75.0,70.0,218.0,Medium Fast
27,Sandshrew,1,Normal,Mouse Pokémon,Ground,,0.6,12.0,300.0,50.0,75.0,85.0,20.0,30.0,40.0,255.0,70.0,60.0,Medium Fast
27,Alolan Sandshrew,1,Normal,Mouse Pokémon,Ice,Steel,0.7,40.0,300.0,50.0,75.0,90.0,10.0,35.0,40.0,255.0,70.0,60.0,Medium Fast
28,Sandslash,1,Normal,Mouse Pokémon,Ground,,1.0,29.5,450.0,75.0,100.0,110.0,45.0,55.0,65.0,90.0,70.0,158.0,Medium Fast
28,Alolan Sandslash,1,Normal,Mouse Pokémon,Ice,Steel,1.2,55.0,450.0,75.0,100.0,120.0,25.0,65.0,65.0,90.0,70.0,158.0,Medium Fast
29,Nidoran♀,1,Normal,Poison Pin Pokémon,Poison,,0.4,7.0,275.0,55.0,47.0,52.0,40.0,40.0,41.0,235.0,70.0,55.0,Medium Slow
30,Nidorina,1,Normal,Poison Pin Pokémon,Poison,,0.8,20.0,365.0,70.0,62.0,67.0,55.0,55.0,56.0,120.0,70.0,128.0,Medium Slow
31,Nidoqueen,1,Normal,Drill Pokémon,Poison,Ground,1.3,60.0,505.0,90.0,92.0,87.0,75.0,85.0,76.0,45.0,70.0,227.0,Medium Slow
32,Nidoran♂,1,Normal,Poison Pin Pokémon,Poison,,0.5,9.0,273.0,46.0,57.0,40.0,40.0,40.0,50.0,235.0,70.0,55.0,Medium Slow
33,Nidorino,1,Normal,Poison Pin Pokémon,Poison,,0.9,19.5,365.0,61.0,72.0,57.0,55.0,55.0,65.0,120.0,70.0,128.0,Medium Slow
34,Nidoking,1,Normal,Drill Pokémon,Poison,Ground,1.4,62.0,505.0,81.0,102.0,77.0,85.0,75.0,85.0,45.0,70.0,227.0,Medium Slow
35,Clefairy,1,Normal,Fairy Pokémon,Fairy,,0.6,7.5,323.0,70.0,45.0,48.0,60.0,65.0,35.0,150.0,140.0,113.0,Fast
36,Clefable,1,Normal,Fairy Pokémon,Fairy,,1.3,40.0,483.0,95.0,70.0,73.0,95.0,90.0,60.0,25.0,140.0,217.0,Fast
37,Vulpix,1,Normal,Fox Pokémon,Fire,,0.6,9.9,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,70.0,60.0,Medium Fast
37,Alolan Vulpix,1,Normal,Fox Pokémon,Ice,,0.6,9.9,299.0,38.0,41.0,40.0,50.0,65.0,65.0,190.0,70.0,60.0,Medium Fast
38,Ninetales,1,Normal,Fox Pokémon,Fire,,1.1,19.9,505.0,73.0,76.0,75.0,81.0,100.0,100.0,75.0,70.0,177.0,Medium Fast
38,Alolan Ninetales,1,Normal,Fox Pokémon,Ice,Fairy,1.1,19.9,505.0,73.0,67.0,75.0,81.0,100.0,109.0,75.0,70.0,177.0,Medium Fast
39,Jigglypuff,1,Normal,Balloon Pokémon,Normal,Fairy,0.5,5.5,270.0,115.0,45.0,20.0,45.0,25.0,20.0,170.0,70.0,95.0,Fast
40,Wigglytuff,1,Normal,Balloon Pokémon,Normal,Fairy,1.0,12.0,435.0,140.0,70.0,45.0,85.0,50.0,45.0,50.0,70.0,196.0,Fast
41,Zubat,1,Normal,Bat Pokémon,Poison,Flying,0.8,7.5,245.0,40.0,45.0,35.0,30.0,40.0,55.0,255.0,70.0,49.0,Medium Fast
42,Golbat,1,Normal,Bat Pokémon,Poison,Flying,1.6,55.0,455.0,75.0,80.0,70.0,65.0,75.0,90.0,90.0,70.0,159.0,Medium Fast
43,Oddish,1,Normal,Weed Pokémon,Grass,Poison,0.5,5.4,320.0,45.0,50.0,55.0,75.0,65.0,30.0,255.0,70.0,64.0,Medium Slow
44,Gloom,1,Normal,Weed Pokémon,Grass,Poison,0.8,8.6,395.0,60.0,65.0,70.0,85.0,75.0,40.0,120.0,70.0,138.0,Medium Slow
45,Vileplume,1,Normal,Flower Pokémon,Grass,Poison,1.2,18.6,490.0,75.0,80.0,85.0,110.0,90.0,50.0,45.0,70.0,221.0,Medium Slow
46,Paras,1,Normal,Mushroom Pokémon,Bug,Grass,0.3,5.4,285.0,35.0,70.0,55.0,45.0,55.0,25.0,190.0,70.0,57.0,Medium Fast
47,Parasect,1,Normal,Mushroom Pokémon,Bug,Grass,1.0,29.5,405.0,60.0,95.0,80.0,60.0,80.0,30.0,75.0,70.0,142.0,Medium Fast
48,Venonat,1,Normal,Insect Pokémon,Bug,Poison,1.0,30.0,305.0,60.0,55.0,50.0,40.0,55.0,45.0,190.0,70.0,61.0,Medium Fast
49,Venomoth,1,Normal,Poison Moth Pokémon,Bug,Poison,1.5,12.5,450.0,70.0,65.0,60.0,90.0,75.0,90.0,75.0,70.0,158.0,Medium Fast
50,Diglett,1,Normal,Mole Pokémon,Ground,,0.2,0.8,265.0,10.0,55.0,25.0,35.0,45.0,95.0,255.0,70.0,53.0,Medium Fast
50,Alolan Diglett,1,Normal,Mole Pokémon,Ground,Steel,0.2,1.0,265.0,10.0,55.0,30.0,35.0,45.0,90.0,255.0,70.0,53.0,Medium Fast
51,Dugtrio,1,Normal,Mole Pokémon,Ground,,0.7,33.3,425.0,35.0,100.0,50.0,50.0,70.0,120.0,50.0,70.0,149.0,Medium Fast
51,Alolan Dugtrio,1,Normal,Mole Pokémon,Ground,Steel,0.7,66.6,425.0,35.0,100.0,60.0,50.0,70.0,110.0,50.0,70.0,149.0,Medium Fast
52,Meowth,1,Normal,Scratch Cat Pokémon,Normal,,0.4,4.2,290.0,40.0,45.0,35.0,40.0,40.0,90.0,255.0,70.0,58.0,Medium Fast
52,Alolan Meowth,1,Normal,Scratch Cat Pokémon,Dark,,0.4,4.2,290.0,40.0,35.0,35.0,50.0,40.0,90.0,255.0,70.0,58.0,Medium Fast
52,Galarian Meowth,1,Normal,Scratch Cat Pokémon,Steel,,0.4,7.5,290.0,50.0,65.0,55.0,40.0,40.0,40.0,,,,Medium Fast
53,Persian,1,Normal,Classy Cat Pokémon,Normal,,1.0,32.0,440.0,65.0,70.0,60.0,65.0,65.0,115.0,90.0,70.0,154.0,Medium Fast
53,Alolan Persian,1,Normal,Classy Cat Pokémon,Dark,,1.1,33.0,440.0,65.0,60.0,60.0,75.0,65.0,115.0,90.0,70.0,154.0,Medium Fast
54,Psyduck,1,Normal,Duck Pokémon,Water,,0.8,19.6,320.0,50.0,52.0,48.0,65.0,50.0,55.0,190.0,70.0,64.0,Medium Fast
55,Golduck,1,Normal,Duck Pokémon,Water,,1.7,76.6,500.0,80.0,82.0,78.0,95.0,80.0,85.0,75.0,70.0,175.0,Medium Fast
56,Mankey,1,Normal,Pig Monkey Pokémon,Fighting,,0.5,28.0,305.0,40.0,80.0,35.0,35.0,45.0,70.0,190.0,70.0,61.0,Medium Fast
57,Primeape,1,Normal,Pig Monkey Pokémon,Fighting,,1.0,32.0,455.0,65.0,105.0,60.0,60.0,70.0,95.0,75.0,70.0,159.0,Medium Fast
58,Growlithe,1,Normal,Puppy Pokémon,Fire,,0.7,19.0,350.0,55.0,70.0,45.0,70.0,50.0,60.0,190.0,70.0,70.0,Slow
59,Arcanine,1,Normal,Legendary Pokémon,Fire,,1.9,155.0,555.0,90.0,110.0,80.0,100.0,80.0,95.0,75.0,70.0,194.0,Slow
60,Poliwag,1,Normal,Tadpole Pokémon,Water,,0.6,12.4,300.0,40.0,50.0,40.0,40.0,40.0,90.0,255.0,70.0,60.0,Medium Slow
61,Poliwhirl,1,Normal,Tadpole Pokémon,Water,,1.0,20.0,385.0,65.0,65.0,65.0,50.0,50.0,90.0,120.0,70.0,135.0,Medium Slow
62,Poliwrath,1,Normal,Tadpole Pokémon,Water,Fighting,1.3,54.0,510.0,90.0,95.0,95.0,70.0,90.0,70.0,45.0,70.0,230.0,Medium Slow
63,Abra,1,Normal,Psi Pokémon,Psychic,,0.9,19.5,310.0,25.0,20.0,15.0,105.0,55.0,90.0,200.0,70.0,62.0,Medium Slow
64,Kadabra,1,Normal,Psi Pokémon,Psychic,,1.3,56.5,400.0,40.0,35.0,30.0,120.0,70.0,105.0,100.0,70.0,140.0,Medium Slow
65,Alakazam,1,Normal,Psi Pokémon,Psychic,,1.5,48.0,500.0,55.0,50.0,45.0,135.0,95.0,120.0,50.0,70.0,225.0,Medium Slow
65,Mega Alakazam,1,Normal,Psi Pokémon,Psychic,,1.2,48.0,600.0,55.0,50.0,65.0,175.0,105.0,150.0,50.0,70.0,270.0,Medium Slow
66,Machop,1,Normal,Superpower Pokémon,Fighting,,0.8,19.5,305.0,70.0,80.0,50.0,35.0,35.0,35.0,180.0,70.0,61.0,Medium Slow
67,Machoke,1,Normal,Superpower Pokémon,Fighting,,1.5,70.5,405.0,80.0,100.0,70.0,50.0,60.0,45.0,90.0,70.0,142.0,Medium Slow
68,Machamp,1,Normal,Superpower Pokémon,Fighting,,1.6,130.0,505.0,90.0,130.0,80.0,65.0,85.0,55.0,45.0,70.0,227.0,Medium Slow
69,Bellsprout,1,Normal,Flower Pokémon,Grass,Poison,0.7,4.0,300.0,50.0,75.0,35.0,70.0,30.0,40.0,255.0,70.0,60.0,Medium Slow
70,Weepinbell,1,Normal,Flycatcher Pokémon,Grass,Poison,1.0,6.4,390.0,65.0,90.0,50.0,85.0,45.0,55.0,120.0,70.0,137.0,Medium Slow
71,Victreebel,1,Normal,Flycatcher Pokémon,Grass,Poison,1.7,15.5,490.0,80.0,105.0,65.0,100.0,70.0,70.0,45.0,70.0,221.0,Medium Slow
72,Tentacool,1,Normal,Jellyfish Pokémon,Water,Poison,0.9,45.5,335.0,40.0,40.0,35.0,50.0,100.0,70.0,190.0,70.0,67.0,Slow
73,Tentacruel,1,Normal,Jellyfish Pokémon,Water,Poison,1.6,55.0,515.0,80.0,70.0,65.0,80.0,120.0,100.0,60.0,70.0,180.0,Slow
74,Geodude,1,Normal,Rock Pokémon,Rock,Ground,0.4,20.0,300.0,40.0,80.0,100.0,30.0,30.0,20.0,255.0,70.0,60.0,Medium Slow
74,Alolan Geodude,1,Normal,Rock Pokémon,Rock,Electric,0.4,20.3,300.0,40.0,80.0,100.0,30.0,30.0,20.0,255.0,70.0,60.0,Medium Slow
75,Graveler,1,Normal,Rock Pokémon,Rock,Ground,1.0,105.0,390.0,55.0,95.0,115.0,45.0,45.0,35.0,120.0,70.0,137.0,Medium Slow
75,Alolan Graveler,1,Normal,Rock Pokémon,Rock,Electric,1.0,110.0,390.0,55.0,95.0,115.0,45.0,45.0,35.0,120.0,70.0,137.0,Medium Slow
76,Golem,1,Normal,Megaton Pokémon,Rock,Ground,1.4,300.0,495.0,80.0,120.0,130.0,55.0,65.0,45.0,45.0,70.0,223.0,Medium Slow
76,Alolan Golem,1,Normal,Megaton Pokémon,Rock,Electric,1.7,316.0,495.0,80.0,120.0,130.0,55.0,65.0,45.0,45.0,70.0,223.0,Medium Slow
77,Ponyta,1,Normal,Fire Horse Pokémon,Fire,,1.0,30.0,410.0,50.0,85.0,55.0,65.0,65.0,90.0,190.0,70.0,82.0,Medium Fast
77,Galarian Ponyta,1,Normal,Unique Horn Pokémon,Psychic,,0.8,24.0,410.0,50.0,85.0,55.0,65.0,65.0,90.0,,,,Medium Fast
78,Rapidash,1,Normal,Fire Horse Pokémon,Fire,,1.7,95.0,500.0,65.0,100.0,70.0,80.0,80.0,105.0,60.0,70.0,175.0,Medium Fast
78,Galarian Rapidash,1,Normal,Unique Horn Pokémon,Psychic,Fairy,1.7,80.0,500.0,65.0,100.0,70.0,80.0,80.0,105.0,,,,Medium Fast
79,Slowpoke,1,Normal,Dopey Pokémon,Water,Psychic,1.2,36.0,315.0,90.0,65.0,65.0,40.0,40.0,15.0,190.0,70.0,63.0,Medium Fast
80,Slowbro,1,Normal,Hermit Crab Pokémon,Water,Psychic,1.6,78.5,490.0,95.0,75.0,110.0,100.0,80.0,30.0,75.0,70.0,172.0,Medium Fast
80,Mega Slowbro,1,Normal,Hermit Crab Pokémon,Water,Psychic,2.0,120.0,590.0,95.0,75.0,180.0,130.0,80.0,30.0,75.0,70.0,207.0,Medium Fast
81,Magnemite,1,Normal,Magnet Pokémon,Electric,Steel,0.3,6.0,325.0,25.0,35.0,70.0,95.0,55.0,45.0,190.0,70.0,65.0,Medium Fast
82,Magneton,1,Normal,Magnet Pokémon,Electric,Steel,1.0,60.0,465.0,50.0,60.0,95.0,120.0,70.0,70.0,60.0,70.0,163.0,Medium Fast
83,Farfetch'd,1,Normal,Wild Duck Pokémon,Normal,Flying,0.8,15.0,377.0,52.0,90.0,55.0,58.0,62.0,60.0,45.0,70.0,132.0,Medium Fast
83,Galarian Farfetch'd,1,Normal,Wild Duck Pokémon,Fighting,,0.8,42.0,377.0,52.0,95.0,55.0,58.0,62.0,55.0,,,,Medium Fast
84,Doduo,1,Normal,Twin Bird Pokémon,Normal,Flying,1.4,39.2,310.0,35.0,85.0,45.0,35.0,35.0,75.0,190.0,70.0,62.0,Medium Fast
85,Dodrio,1,Normal,Triple Bird Pokémon,Normal,Flying,1.8,85.2,470.0,60.0,110.0,70.0,60.0,60.0,110.0,45.0,70.0,165.0,Medium Fast
86,Seel,1,Normal,Sea Lion Pokémon,Water,,1.1,90.0,325.0,65.0,45.0,55.0,45.0,70.0,45.0,190.0,70.0,65.0,Medium Fast
87,Dewgong,1,Normal,Sea Lion Pokémon,Water,Ice,1.7,120.0,475.0,90.0,70.0,80.0,70.0,95.0,70.0,75.0,70.0,166.0,Medium Fast
88,Grimer,1,Normal,Sludge Pokémon,Poison,,0.9,30.0,325.0,80.0,80.0,50.0,40.0,50.0,25.0,190.0,70.0,65.0,Medium Fast
88,Alolan Grimer,1,Normal,Sludge Pokémon,Poison,Dark,0.7,42.0,325.0,80.0,80.0,50.0,40.0,50.0,25.0,190.0,70.0,65.0,Medium Fast
89,Muk,1,Normal,Sludge Pokémon,Poison,,1.2,30.0,500.0,105.0,105.0,75.0,65.0,100.0,50.0,75.0,70.0,175.0,Medium Fast
89,Alolan Muk,1,Normal,Sludge Pokémon,Poison,Dark,1.0,52.0,500.0,105.0,105.0,75.0,65.0,100.0,50.0,75.0,70.0,175.0,Medium Fast
90,Shellder,1,Normal,Bivalve Pokémon,Water,,0.3,4.0,305.0,30.0,65.0,100.0,45.0,25.0,40.0,190.0,70.0,61.0,Slow
91,Cloyster,1,Normal,Bivalve Pokémon,Water,Ice,1.5,132.5,525.0,50.0,95.0,180.0,85.0,45.0,70.0,60.0,70.0,184.0,Slow
92,Gastly,1,Normal,Gas Pokémon,Ghost,Poison,1.3,0.1,310.0,30.0,35.0,30.0,100.0,35.0,80.0,190.0,70.0,62.0,Medium Slow
93,Haunter,1,Normal,Gas Pokémon,Ghost,Poison,1.6,0.1,405.0,45.0,50.0,45.0,115.0,55.0,95.0,90.0,70.0,142.0,Medium Slow
94,Gengar,1,Normal,Shadow Pokémon,Ghost,Poison,1.5,40.5,500.0,60.0,65.0,60.0,130.0,75.0,110.0,45.0,70.0,225.0,Medium Slow
94,Mega Gengar,1,Normal,Shadow Pokémon,Ghost,Poison,1.4,40.5,600.0,60.0,65.0,80.0,170.0,95.0,130.0,45.0,70.0,270.0,Medium Slow
95,Onix,1,Normal,Rock Snake Pokémon,Rock,Ground,8.8,210.0,385.0,35.0,45.0,160.0,30.0,45.0,70.0,45.0,70.0,77.0,Medium Fast
96,Drowzee,1,Normal,Hypnosis Pokémon,Psychic,,1.0,32.4,328.0,60.0,48.0,45.0,43.0,90.0,42.0,190.0,70.0,66.0,Medium Fast
97,Hypno,1,Normal,Hypnosis Pokémon,Psychic,,1.6,75.6,483.0,85.0,73.0,70.0,73.0,115.0,67.0,75.0,70.0,169.0,Medium Fast
98,Krabby,1,Normal,River Crab Pokémon,Water,,0.4,6.5,325.0,30.0,105.0,90.0,25.0,25.0,50.0,225.0,70.0,65.0,Medium Fast
99,Kingler,1,Normal,Pincer Pokémon,Water,,1.3,60.0,475.0,55.0,130.0,115.0,50.0,50.0,75.0,60.0,70.0,166.0,Medium Fast
100,Voltorb,1,Normal,Ball Pokémon,Electric,,0.5,10.4,330.0,40.0,30.0,50.0,55.0,55.0,100.0,190.0,70.0,66.0,Medium Fast
101,Electrode,1,Normal,Ball Pokémon,Electric,,1.2,66.6,490.0,60.0,50.0,70.0,80.0,80.0,150.0,60.0,70.0,172.0,Medium Fast
102,Exeggcute,1,Normal,Egg Pokémon,Grass,Psychic,0.4,2.5,325.0,60.0,40.0,80.0,60.0,45.0,40.0,90.0,70.0,65.0,Slow
103,Exeggutor,1,Normal,Coconut Pokémon,Grass,Psychic,2.0,120.0,530.0,95.0,95.0,85.0,125.0,75.0,55.0,45.0,70.0,186.0,Slow
103,Alolan Exeggutor,1,Normal,Coconut Pokémon,Grass,Dragon,10.9,415.6,530.0,95.0,105.0,85.0,125.0,75.0,45.0,45.0,70.0,186.0,Slow
104,Cubone,1,Normal,Lonely Pokémon,Ground,,0.4,6.5,320.0,50.0,50.0,95.0,40.0,50.0,35.0,190.0,70.0,64.0,Medium Fast
105,Marowak,1,Normal,Bone Keeper Pokémon,Ground,,1.0,45.0,425.0,60.0,80.0,110.0,50.0,80.0,45.0,75.0,70.0,149.0,Medium Fast
105,Alolan Marowak,1,Normal,Bone Keeper Pokémon,Fire,Ghost,1.0,34.0,425.0,60.0,80.0,110.0,50.0,80.0,45.0,75.0,70.0,149.0,Medium Fast
106,Hitmonlee,1,Normal,Kicking Pokémon,Fighting,,1.5,49.8,455.0,50.0,120.0,53.0,35.0,110.0,87.0,45.0,70.0,159.0,Medium Fast
107,Hitmonchan,1,Normal,Punching Pokémon,Fighting,,1.4,50.2,455.0,50.0,105.0,79.0,35.0,110.0,76.0,45.0,70.0,159.0,Medium Fast
108,Lickitung,1,Normal,Licking Pokémon,Normal,,1.2,65.5,385.0,90.0,55.0,75.0,60.0,75.0,30.0,45.0,70.0,77.0,Medium Fast
109,Koffing,1,Normal,Poison Gas Pokémon,Poison,,0.6,1.0,340.0,40.0,65.0,95.0,60.0,45.0,35.0,190.0,70.0,68.0,Medium Fast
110,Weezing,1,Normal,Poison Gas Pokémon,Poison,,1.2,9.5,490.0,65.0,90.0,120.0,85.0,70.0,60.0,60.0,70.0,172.0,Medium Fast
110,Galarian Weezing,1,Normal,Poison Gas Pokémon,Poison,Fairy,3.0,16.0,490.0,65.0,90.0,120.0,85.0,70.0,60.0,,,,Medium Fast
111,Rhyhorn,1,Normal,Spikes Pokémon,Ground,Rock,1.0,115.0,345.0,80.0,85.0,95.0,30.0,30.0,25.0,120.0,70.0,69.0,Slow
112,Rhydon,1,Normal,Drill Pokémon,Ground,Rock,1.9,120.0,485.0,105.0,130.0,120.0,45.0,45.0,40.0,60.0,70.0,170.0,Slow
113,Chansey,1,Normal,Egg Pokémon,Normal,,1.1,34.6,450.0,250.0,5.0,5.0,35.0,105.0,50.0,30.0,140.0,395.0,Fast
114,Tangela,1,Normal,Vine Pokémon,Grass,,1.0,35.0,435.0,65.0,55.0,115.0,100.0,40.0,60.0,45.0,70.0,87.0,Medium Fast
115,Kangaskhan,1,Normal,Parent Pokémon,Normal,,2.2,80.0,490.0,105.0,95.0,80.0,40.0,80.0,90.0,45.0,70.0,172.0,Medium Fast
115,Mega Kangaskhan,1,Normal,Parent Pokémon,Normal,,2.2,100.0,590.0,105.0,125.0,100.0,60.0,100.0,100.0,45.0,70.0,207.0,Medium Fast
116,Horsea,1,Normal,Dragon Pokémon,Water,,0.4,8.0,295.0,30.0,40.0,70.0,70.0,25.0,60.0,225.0,70.0,59.0,Medium Fast
117,Seadra,1,Normal,Dragon Pokémon,Water,,1.2,25.0,440.0,55.0,65.0,95.0,95.0,45.0,85.0,75.0,70.0,154.0,Medium Fast
118,Goldeen,1,Normal,Goldfish Pokémon,Water,,0.6,15.0,320.0,45.0,67.0,60.0,35.0,50.0,63.0,225.0,70.0,64.0,Medium Fast
119,Seaking,1,Normal,Goldfish Pokémon,Water,,1.3,39.0,450.0,80.0,92.0,65.0,65.0,80.0,68.0,60.0,70.0,158.0,Medium Fast
120,Staryu,1,Normal,Star Shape Pokémon,Water,,0.8,34.5,340.0,30.0,45.0,55.0,70.0,55.0,85.0,225.0,70.0,68.0,Slow
121,Starmie,1,Normal,Mysterious Pokémon,Water,Psychic,1.1,80.0,520.0,60.0,75.0,85.0,100.0,85.0,115.0,60.0,70.0,182.0,Slow
122,Mr. Mime,1,Normal,Barrier Pokémon,Psychic,Fairy,1.3,54.5,460.0,40.0,45.0,65.0,100.0,120.0,90.0,45.0,70.0,161.0,Medium Fast
122,Galarian Mr. Mime,1,Normal,Dancing Pokémon,Psychic,Ice,1.4,56.8,460.0,50.0,65.0,65.0,90.0,90.0,100.0,,,,Medium Fast
123,Scyther,1,Normal,Mantis Pokémon,Bug,Flying,1.5,56.0,500.0,70.0,110.0,80.0,55.0,80.0,105.0,45.0,70.0,100.0,Medium Fast
124,Jynx,1,Normal,Human Shape Pokémon,Ice,Psychic,1.4,40.6,455.0,65.0,50.0,35.0,115.0,95.0,95.0,45.0,70.0,159.0,Medium Fast
125,Electabuzz,1,Normal,Electric Pokémon,Electric,,1.1,30.0,490.0,65.0,83.0,57.0,95.0,85.0,105.0,45.0,70.0,172.0,Medium Fast
